source_filename;source_filepath;file_type;program_name;selected_tool_last;pressure;pressure_tool;program_progress_last;origin_x_offset;origin_y_offset;origin_z_offset;start_stop_delay_mode;start_delay;stop_delay;feed_rate_last;last_x;last_y;last_z;m162;commands_found_count;commands_found_preview;json_output_filename;nozzle_speed;nozzle_velocity;extrusion_pressure;z_offset_estimated
1x10 dots right 24 well plate 4kPa 0.3mm 500umMEW topright.nc;C:\Users\hmo\hmo_workspace\data_procedure\nc_files\1x10 dots right 24 well plate 4kPa 0.3mm 500umMEW topright.nc;.nc;1x10 dots right 24 well plate 4kPa 0.4mm 500umMEW topright;1;40;1;1000;10.0;9.753;2.5;1;0.002;0.002;10.0;1.0;-0.5;0.5;500;61;"[""T1"", ""M200=40"", ""T0"", ""M110=0"", ""T1"", ""G805[10.0, 9.753, 2.5]"", ""T1"", ""G807[1, 0.002, 0.002]"", ""M200=40"", ""M110=250"", ""M162=500"", ""M110=260"", ""M110=280"", ""M110=300"", ""M162=500"", ""M110=320"", ""M110=330"", ""M110=340"", ""M110=350"", ""M162=500""]";1.json;10.0;10.0;40.0;-2.0
1x10 dots right 24 well plate 4kPa 0.4mm 500umMEW bottomright.nc;C:\Users\hmo\hmo_workspace\data_procedure\nc_files\1x10 dots right 24 well plate 4kPa 0.4mm 500umMEW bottomright.nc;.nc;1x10 dots right 24 well plate 4kPa 0.4mm 500umMEW bottomright;1;40;1;1000;10.0;-10.247;2.5;1;0.002;0.002;10.0;1.0;-0.5;0.6;500;61;"[""T1"", ""M200=40"", ""T0"", ""M110=0"", ""T1"", ""G805[10.0, -10.247, 2.5]"", ""T1"", ""G807[1, 0.002, 0.002]"", ""M200=40"", ""M110=250"", ""M162=500"", ""M110=260"", ""M110=280"", ""M110=300"", ""M162=500"", ""M110=320"", ""M110=330"", ""M110=340"", ""M110=350"", ""M162=500""]";2.json;10.0;10.0;40;-1.9
scaffold 15x15x50 400um.nc;C:\Users\hmo\hmo_workspace\data_procedure\nc_files\scaffold 15x15x50 400um.nc;.nc;scaffold 15x15x50 400um;2;1000;2;1000;0.0;0.0;1.0;1;80.0;0.002;4.0;-7.1;9.7;2.147;;110;"[""T2"", ""M200=1000"", ""T0"", ""M110=0"", ""T2"", ""G805[0.0, 0.0, 1.0]"", ""T2"", ""G807[1, 0.002, 0.002]"", ""M200=1000"", ""G807[1, 80.0, 0.002]"", ""M110=10"", ""M110=20"", ""M110=30"", ""M110=40"", ""M110=50"", ""M110=60"", ""M110=70"", ""M110=80"", ""M110=90"", ""M110=100""]";3.json;4.0;4.0;1000;1.1469999999999998
